,userId,birthDate,ageFilterMin,ageFilterMax,cityName,country,createDate,education,gender,interestedIn,genderFilter,instagram,spotify,jobs,educationLevel,schools,sexuality,AgeRange,AgeofUser,AgeofUserinYears,averageAgePref,agePreference,PreferYounger,PreferOlder,AgeofUserGroup,nrOfConversations,longestConversation,longestConversationInDays,averageConversationLength,averageConversationLengthInDays,medianConversationLength,medianConversationLengthInDays,nrOfOneMessageConversations,percentOfOneMessageConversations,nrOfGhostingsAfterInitialMessage,AverageLikes,AveragePasses,AverageMatches,AverageMessagesSent,AverageMessagesReceived,AveragePercentageSwipeRight,AverageMatchRate,id,ProfileShowsSchool,name,companyDisplayed,ProfileShowsJob,title
0,00b74e27ad1cbb2ded8e907fcc49eaaf,1976-01-01 00:00:00+00:00,21,35,Trondheim,Norway,2016-01-01 09:30:07.551000+00:00,Has high school and/or college education,M,F,F,FALSE,FALSE,[],Has high school and/or college education,[],Straight Male,14,14610 days 09:30:07.551000,40,28,Prefer younger,1,0,"(35.0, 40.0]",739,133,683.5574421,8.560216509,10.23661993,3,0.081134259,226,30.58186739,66,49.86373166,50.79454927,7.144654088,7.044025157,6.836477987,0.495376349,0.143283582,None,FALSE,None,FALSE,FALSE,FALSE
1,024610702baf540af5637873cd1534e9,1997-07-04 00:00:00+00:00,18,29,Richmond,VA,2016-07-12 02:26:46.774000+00:00,Has high school and/or college education,M,F,F,FALSE,FALSE,[],Has high school and/or college education,[],Straight Male,11,6948 days 02:26:46.774000,19,23.5,Prefer older,0,0,"(18.0, 21.0]",464,36,622.4665278,4.495689655,3.973980159,2,6.94E-05,56,12.06896552,16,39.5267335,41.40267335,0.741854637,1.744360902,1.260651629,0.488410023,0.018768428,None,FALSE,None,FALSE,FALSE,FALSE
2,0a5e3dd8489fe67485ddb7d6adb26ebd,1998-02-06 00:00:00+00:00,20,24,,,2019-07-01 19:17:54.560000+00:00,Has no high school or college education,M,F,F,FALSE,FALSE,[],Has no high school or college education,[],Straight Male,4,7815 days 19:17:54.560000,21,22,Prefer older,0,0,"(18.0, 21.0]",303,33,295.2834144,4.254125413,3.465479044,2,0.033715278,106,34.98349835,17,24.45582329,22.08835341,2.200803213,5.184738956,4.626506024,0.525432504,0.089990968,None,FALSE,None,FALSE,FALSE,FALSE
3,048dd37565ad9cbc24c163ffedffbf58,1998-02-24 00:00:00+00:00,20,25,Edmonton,Alberta,2019-09-25 03:28:20.920000+00:00,Has no high school or college education,M,F,F,FALSE,FALSE,[],Has no high school or college education,[],Straight Male,5,7883 days 03:28:20.920000,22,22.5,Prefer older,0,0,"(21.0, 25.0]",47,28,130.0344097,7.893617021,5.878984929,6,0.643726852,3,6.382978723,0,46.27531646,49.99367089,0.594936709,2.348101266,1.417721519,0.480687683,0.012856459,None,FALSE,None,FALSE,FALSE,FALSE
4,0eb998fdde77f9c123c07eace18a5cc1,1996-11-10 00:00:00+00:00,18,27,,,2017-11-17 23:30:37.231000+00:00,Has no high school or college education,M,F,F,TRUE,FALSE,"[{'companyDisplayed': False, 'titleDisplayed': True, 'title': 'Research Assistant'}]",Has no high school or college education,"[{'displayed': True, 'name': 'Humboldt-Universität zu Berlin'}]",Straight Male,9,7677 days 23:30:37.231000,21,22.5,Prefer older,0,0,"(18.0, 21.0]",809,444,198.3909722,6.82447466,1.924995894,3,0.091770833,296,36.58838072,13,109.6797203,135.206993,2.664335664,7.73006993,8.464335664,0.447879425,0.024291963,None,TRUE,Humboldt-Universität zu Berlin,FALSE,TRUE,Research Assistant
5,10a8c197447a3991d64136b315d6e87e,1994-04-16 00:00:00+00:00,30,50,Ciudad de México,CDMX,2014-03-06 04:38:38.089000+00:00,Has high school and/or college education,M,F,F,FALSE,FALSE,"[{'companyDisplayed': True, 'titleDisplayed': False, 'title': False}]",Has high school and/or college education,"[{'displayed': True, 'id': '112432842116375', 'name': 'ITESM Campus Santa Fe', 'type': 'College'}, {'displayed': True, 'id': '103418533031555', 'name': 'Tecnológico de Monterrey, Campus Santa Fe', 'type': 'College', 'year': '2017'}]",Straight Male,20,7264 days 04:38:38.089000,20,40,Prefer older,0,1,"(18.0, 21.0]",122,808,98.05552083,22.68852459,2.703524306,5,0.246412037,30,24.59016393,4,38.29098361,14.96448087,0.554644809,6.18852459,6.136612022,0.71900572,0.014484998,1.12433E+14,TRUE,ITESM Campus Santa Fe,TRUE,FALSE,FALSE
6,10a8c197447a3991d64136b315d6e87e,1994-04-16 00:00:00+00:00,30,50,Ciudad de México,CDMX,2014-03-06 04:38:38.089000+00:00,Has high school and/or college education,M,F,F,FALSE,FALSE,"[{'companyDisplayed': True, 'titleDisplayed': False, 'title': False}]",Has high school and/or college education,"[{'displayed': True, 'id': '112432842116375', 'name': 'ITESM Campus Santa Fe', 'type': 'College'}, {'displayed': True, 'id': '103418533031555', 'name': 'Tecnológico de Monterrey, Campus Santa Fe', 'type': 'College', 'year': '2017'}]",Straight Male,20,7264 days 04:38:38.089000,20,40,Prefer older,0,1,"(18.0, 21.0]",122,808,98.05552083,22.68852459,2.703524306,5,0.246412037,30,24.59016393,4,38.29098361,14.96448087,0.554644809,6.18852459,6.136612022,0.71900572,0.014484998,1.03419E+14,TRUE,"Tecnológico de Monterrey, Campus Santa Fe",TRUE,FALSE,FALSE
7,1a6bc90a124bed79741b441929c4d365,1976-01-01 00:00:00+00:00,21,35,Boston,USA,2016-01-01 09:30:07.551000+00:00,Has high school and/or college education,F,M,M,FALSE,FALSE,"[{'companyDisplayed': False, 'titleDisplayed': False, 'title': False}]",Has high school and/or college education,"[{'displayed': False, 'name': 'Stanford'}]",Straight Female,14,14610 days 09:30:07.551000,40,28,Prefer younger,1,0,"(35.0, 40.0]",258,133,533.1965856,10.12790698,15.81979696,3,0.099386574,75,29.06976744,27,50.19496855,47.68972746,6.907756813,7.253668763,6.63312369,0.512796899,0.137618511,None,FALSE,Stanford,FALSE,FALSE,FALSE
8,1c2f3d5f9d2ca312136fdf6e018a177d,1994-02-08 00:00:00+00:00,18,35,,,2019-10-06 07:28:31.380000+00:00,Has no high school or college education,M,F,F,FALSE,FALSE,[],Has no high school or college education,"[{'displayed': True, 'name': 'Universität St. Gallen'}]",Straight Male,17,9371 days 07:28:31.380000,26,26.5,Prefer older,0,0,"(25.0, 30.0]",79,23,17.01587963,3.658227848,1.354182782,2,0.007523148,34,43.03797468,1,6.966666667,5.333333333,0.966666667,3.211111111,2.3,0.566395664,0.138755981,None,TRUE,Universität St. Gallen,FALSE,FALSE,FALSE
9,1e74b4cb4b126a8f34b2d9b1fda0a92f,1992-12-23 00:00:00+00:00,18,100,,,2014-02-08 19:46:26.739000+00:00,Has high school and/or college education,F,M,M,FALSE,TRUE,[],Has high school and/or college education,[],Straight Female,82,7717 days 19:46:26.739000,21,59,Prefer older,0,0,"(18.0, 21.0]",663,123,211.1743634,8.119155354,4.407374885,4,0.036006944,123,18.5520362,85,84.85240113,163.3036723,2.515536723,3.242937853,4.870056497,0.341931591,0.029646029,None,FALSE,None,FALSE,FALSE,FALSE
10,2057ea510896a025db5790675c90b7d6,1995-11-27 00:00:00+00:00,23,40,,,2015-11-15 10:26:16.796000+00:00,Has high school and/or college education,M,M,M,TRUE,TRUE,[],Has high school and/or college education,[],Gay Male,17,7293 days 10:26:16.796000,20,31.5,Prefer older,0,1,"(18.0, 21.0]",1580,80,1451.564838,4.789240506,13.6440477,1,0,498,31.51898734,297,33.81941545,31.35977731,3.531663187,5.245650661,6.0361865,0.518868277,0.104427091,None,FALSE,None,FALSE,FALSE,FALSE
11,1f4873925d958cab973bc21385bc956e,2001-05-18 00:00:00+00:00,18,19,Sint-Martens-Latem,Flanders,2019-10-16 13:48:37.264000+00:00,Has no high school or college education,M,F,F,TRUE,FALSE,[],Has no high school or college education,[],Straight Male,1,6725 days 13:48:37.264000,18,18.5,Prefer older,0,0,,62,161,56.93951389,12.59677419,2.024575866,2,0.016851852,25,40.32258065,1,49.84558824,71.29411765,1.647058824,11.73529412,12.35294118,0.411471927,0.033043222,None,FALSE,None,FALSE,FALSE,FALSE
12,2fa5e046d9413c4b0060b3c4db72365b,1997-12-12 00:00:00+00:00,18,25,Cabramatta,NSW,2019-01-24 07:59:15.536000+00:00,Has no high school or college education,M,F,F,TRUE,TRUE,[],Has no high school or college education,"[{'displayed': True, 'metadata_id': 'int_10457', 'name': 'University of Technology, Sydney'}]",Straight Male,7,7713 days 07:59:15.536000,21,21.5,Prefer older,0,0,"(18.0, 21.0]",295,157,221.4633449,14.92542373,8.867884887,4,0.320358796,73,24.74576271,1,124.3555556,193.9654321,0.775308642,10.87160494,7.454320988,0.390660875,0.006234612,None,TRUE,"University of Technology, Sydney",FALSE,FALSE,FALSE
13,23dbb328ffd9e2fed0e012b922b7f6b2,1995-08-13 00:00:00+00:00,21,29,,,2020-05-22 16:32:23.784000+00:00,Has no high school or college education,M,F,F,FALSE,FALSE,[],Has no high school or college education,[],Straight Male,8,9049 days 16:32:23.784000,25,25,Prefer older,0,0,"(21.0, 25.0]",0,0,0,0,0,0,0,0,0,0,71.5,73.5,1,0,0,0.493103448,0.013986014,None,FALSE,None,FALSE,FALSE,FALSE
